Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
1a,1969-06-29,147.0,Roubaix,Sint-Pieters-Woluwe,Plain stage,Marino Basso,ITA,1969,Marino_Basso,Flat stage,1945-06-01,Caldogno
1b,1969-06-29,16.0,Sint-Pieters-Woluwe,Sint-Pieters-Woluwe,Team time trial,Faema,,1969,Faema,Flat stage,,
2,1969-06-30,182.0,Sint-Pieters-Woluwe,Maastricht,Plain stage,Julien Stevens,BEL,1969,Julien_Stevens,Flat stage,1943-02-25,Malines
3,1969-07-01,213.0,Maastricht,Charleville-Mézières,Plain stage,Eric Leman,BEL,1969,Eric_Leman,Flat stage,1946-07-17,Ledeghem
4,1969-07-02,214.0,Charleville-Mézières,Nancy,Plain stage,Rik Van Looy,BEL,1969,Rik_Van_Looy,Flat stage,1933-12-20,Grobbendonk
5,1969-07-03,194.0,Nancy,Mulhouse,Stage with mountain(s),Joaquim Agostinho,POR,1969,Joaquim_Agostinho,Mountain stage,1943-04-07,Torres Vedras
6,1969-07-04,133.0,Mulhouse,Ballon d’Alsace,Stage with mountain(s),Eddy Merckx,BEL,1969,Eddy_Merckx,Mountain stage,1945-06-17,Meensel-Kiezegem
7,1969-07-05,241.0,Belfort,Divonne-les-Bains,Stage with mountain(s),Mariano Diaz,ESP,1969,Mariano_Diaz,Mountain stage,,
8a,1969-07-06,9.0,Divonne-les-Bains,Divonne-les-Bains,Individual time trial,Eddy Merckx,BEL,1969,Eddy_Merckx,Time trial,1945-06-17,Meensel-Kiezegem
8b,1969-07-06,137.0,Divonne-les-Bains,Thonon-les-Bains,Stage with mountain(s),Michele Dancelli,ITA,1969,Michele_Dancelli,Mountain stage,1942-05-08,Castenedolo
9,1969-07-07,111.0,Thonon-les-Bains,Chamonix,Stage with mountain(s),Roger Pingeon,FRA,1969,Roger_Pingeon,Mountain stage,1940-08-28,Hauteville-Lompnes
10,1969-07-08,221.0,Chamonix,Briançon,Stage with mountain(s),Herman Van Springel,BEL,1969,Herman_Van_Springel,Mountain stage,1943-08-14,Ranst
11,1969-07-09,198.0,Briançon,Digne,Stage with mountain(s),Eddy Merckx,BEL,1969,Eddy_Merckx,Mountain stage,1945-06-17,Meensel-Kiezegem
12,1969-07-10,161.0,Digne,Aubagne,Stage with mountain(s),Felice Gimondi,ITA,1969,Felice_Gimondi,Mountain stage,1942-09-29,Sedrina (royaume d'Italie)
13,1969-07-11,196.0,Aubagne,La Grande-Motte,Plain stage,Guido Reybrouck,BEL,1969,Guido_Reybrouck,Flat stage,1941-12-25,Bruges
14,1969-07-12,234.0,La Grande-Motte,Revel,Plain stage,Joaquim Agostinho,POR,1969,Joaquim_Agostinho,Flat stage,1943-04-07,Torres Vedras
